frame.number,frame.time_relative,ip.src,ip.dst,tcp.len,tcp.payload
865,148.836796400,192.168.95.41,192.168.95.42,89,001000553130340a31392e30332e323032365f31313a31333a30330a3130303930353039310a4d5243446574656374696f6e43616d657261446561637469766174653a3a4f6e53746172743a2073746f702063616d6572610a
866,148.836832300,192.168.95.42,192.168.95.41,7,00100003313034
868,148.879347800,192.168.95.41,192.168.95.42,97,0010005d3130310a31392e30332e323032365f31313a31333a30330a3130303930353039300a4d5243446574656374696f6e43616d657261446561637469766174653a3a4f6e416e737765723a2063616d6572612064656163746976617465640a
869,148.879382600,192.168.95.42,192.168.95.41,7,00100003313031
871,149.223579000,192.168.95.42,192.168.95.41,6,000000026869
873,149.224271100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
875,150.224887700,192.168.95.42,192.168.95.41,6,000000026869
876,150.225562900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
878,151.226210600,192.168.95.42,192.168.95.41,6,000000026869
879,151.226854800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
881,152.227544000,192.168.95.42,192.168.95.41,6,000000026869
882,152.228219300,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
886,153.228867500,192.168.95.42,192.168.95.41,6,000000026869
887,153.229460100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
889,154.230177500,192.168.95.42,192.168.95.41,6,000000026869
890,154.230819800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
892,155.231501000,192.168.95.42,192.168.95.41,6,000000026869
893,155.232153400,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
895,156.232839300,192.168.95.42,192.168.95.41,6,000000026869
896,156.233486200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
898,157.234155800,192.168.95.42,192.168.95.41,6,000000026869
899,157.234803600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
901,158.235480300,192.168.95.42,192.168.95.41,6,000000026869
902,158.377444500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
903,158.378485900,192.168.95.41,192.168.95.42,35,000e001f3130310a31392e30332e323032365f31313a31333a31320a3330310a340a0a
904,158.378591300,192.168.95.42,192.168.95.41,7,000e0003313031
906,158.379541800,192.168.95.41,192.168.95.42,105,001000653130320a31392e30332e323032365f31313a31333a31320a3130303730353032300a4d524352756e53657175656e63657246696e69736852756e3a3a4f6e416e737765723a205469636b4261636b757020686173206265656e207265737461727465642e0a
907,158.379582200,192.168.95.42,192.168.95.41,7,00100003313032
909,158.380416300,192.168.95.41,192.168.95.42,35,000e001f3130330a31392e30332e323032365f31313a31333a31320a3130310a300a0a
910,158.380462500,192.168.95.42,192.168.95.41,7,000e0003313033
912,158.381401600,192.168.95.41,192.168.95.42,109,001000693130340a31392e30332e323032365f31313a31333a31320a3130303430353036300a4d524345786572756e536572766572576169744578706572696d656e74456e643a3a4f6e416e737765723a20456e64206f662052756e20616e64204578706572696d656e742e0a
913,158.381434200,192.168.95.42,192.168.95.41,7,00100003313034
915,158.382260800,192.168.95.41,192.168.95.42,35,000e001f3130350a31392e30332e323032365f31313a31333a31320a31310a31300a0a
916,158.382305900,192.168.95.42,192.168.95.41,7,000e0003313035
919,158.978207500,192.168.95.42,192.168.95.41,5,0033000120
921,159.074165000,192.168.95.41,192.168.95.42,138,003300863234383637320a313439353236310a3239333039390a36370a35380a343036350a343035380a310a32300a300a34350a31363934360a383235320a323237370a35310a3535353034360a360a363637340a363338310a323530300a300a313632353634343335360a313036353036343233310a313132393637303737380a313230303030300a
923,159.378415600,192.168.95.42,192.168.95.41,6,000000026869
925,159.379138600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
928,160.295442600,192.168.95.42,192.168.95.41,5,0033000120
930,160.379745600,192.168.95.42,192.168.95.41,6,000000026869
932,160.380447000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
933,160.399190000,192.168.95.41,192.168.95.42,138,003300863234383637320a313439353236310a3239333039390a36370a35380a343036350a343035380a310a32300a300a34350a31363934360a383235320a323237370a35310a3535353034360a360a363637340a363338310a323530300a300a313632353634343335360a313036353036343233310a313132393637303737380a313230303030300a
937,161.005492400,192.168.95.42,192.168.95.41,6,04b000023135
939,161.006444100,192.168.95.41,192.168.95.42,6,04b00002300a
941,161.381071800,192.168.95.42,192.168.95.41,6,000000026869
943,161.381788500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
946,162.382385300,192.168.95.42,192.168.95.41,6,000000026869
947,162.382981800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
949,163.383719900,192.168.95.42,192.168.95.41,6,000000026869
950,163.384375800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
952,164.385031900,192.168.95.42,192.168.95.41,6,000000026869
953,164.385683400,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
